developer-agreement-contribution,amount,units,contribution-purpose,developer-agreement,organisation,entry-date,start-date,end-date,slug
14/01905/S106/2,4753,,open-space-and-leisure,14/01905/S106,local-authority-eng:NTY,2015-07-20,2015-07-20,,/developer-agreement-contribution/local-authority-eng/NTY/14-01905-S106-2
14/01905/S106/1,25000,,education,14/01905/S106,local-authority-eng:NTY,2015-07-20,2015-07-20,,/developer-agreement-contribution/local-authority-eng/NTY/14-01905-S106-1
18/01696/S106/11,207000,,highways,18/01696/S106,local-authority-eng:NTY,2015-03-27,2015-03-27,,/developer-agreement-contribution/local-authority-eng/NTY/18-01696-S106-11
18/01696/S106/10,360000,,transport-and-travel,18/01696/S106,local-authority-eng:NTY,2015-03-27,2015-03-27,,/developer-agreement-contribution/local-authority-eng/NTY/18-01696-S106-10
18/01696/S106/9,196000,,open-space-and-leisure,18/01696/S106,local-authority-eng:NTY,2015-03-27,2015-03-27,,/developer-agreement-contribution/local-authority-eng/NTY/18-01696-S106-9
18/01696/S106/8,800000,,education,18/01696/S106,local-authority-eng:NTY,2015-03-27,2015-03-27,,/developer-agreement-contribution/local-authority-eng/NTY/18-01696-S106-8
18/01696/S106/7,66125,,community-facilities,18/01696/S106,local-authority-eng:NTY,2015-03-27,2015-03-27,,/developer-agreement-contribution/local-authority-eng/NTY/18-01696-S106-7
18/01696/S106/6,187050,,community-facilities,18/01696/S106,local-authority-eng:NTY,2015-03-27,2015-03-27,,/developer-agreement-contribution/local-authority-eng/NTY/18-01696-S106-6
18/01696/S106/5,56550,,green-infrastructure,18/01696/S106,local-authority-eng:NTY,2015-03-27,2015-03-27,,/developer-agreement-contribution/local-authority-eng/NTY/18-01696-S106-5
18/01696/S106/4,31840,,community-facilities,18/01696/S106,local-authority-eng:NTY,2015-03-27,2015-03-27,,/developer-agreement-contribution/local-authority-eng/NTY/18-01696-S106-4
18/01696/S106/3,65000,,transport-and-travel,18/01696/S106,local-authority-eng:NTY,2015-03-27,2015-03-27,,/developer-agreement-contribution/local-authority-eng/NTY/18-01696-S106-3
18/01696/S106/2,0,,economic-development,18/01696/S106,local-authority-eng:NTY,2015-03-27,2015-03-27,,/developer-agreement-contribution/local-authority-eng/NTY/18-01696-S106-2
18/01696/S106/1,0,73,affordable-housing,18/01696/S106,local-authority-eng:NTY,2015-03-27,2015-03-27,,/developer-agreement-contribution/local-authority-eng/NTY/18-01696-S106-1
16/01530/S106/2,3000,,other,16/01530/S106,local-authority-eng:NTY,2015-03-27,2015-03-27,,/developer-agreement-contribution/local-authority-eng/NTY/16-01530-S106-2
16/01530/S106/1,11520,,economic-development,16/01530/S106,local-authority-eng:NTY,2015-03-27,2015-03-27,,/developer-agreement-contribution/local-authority-eng/NTY/16-01530-S106-1
14/01721/S106/11,15801,,open-space-and-leisure,14/01721/S106,local-authority-eng:NTY,2015-02-27,2015-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/14-01721-S106-11
14/01721/S106/10,23425,,open-space-and-leisure,14/01721/S106,local-authority-eng:NTY,2015-02-27,2015-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/14-01721-S106-10
14/01721/S106/9,6728,,green-infrastructure,14/01721/S106,local-authority-eng:NTY,2015-02-27,2015-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/14-01721-S106-9
14/01721/S106/8,5400,,community-facilities,14/01721/S106,local-authority-eng:NTY,2015-02-27,2015-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/14-01721-S106-8
14/01721/S106/7,22252,,community-facilities,14/01721/S106,local-authority-eng:NTY,2015-02-27,2015-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/14-01721-S106-7
14/01721/S106/6,14662,,community-facilities,14/01721/S106,local-authority-eng:NTY,2015-02-27,2015-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/14-01721-S106-6
14/01721/S106/5,32400,,education,14/01721/S106,local-authority-eng:NTY,2015-02-27,2015-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/14-01721-S106-5
14/01721/S106/4,19260,,economic-development,14/01721/S106,local-authority-eng:NTY,2015-02-27,2015-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/14-01721-S106-4
14/01721/S106/3,8000,,highways,14/01721/S106,local-authority-eng:NTY,2015-02-27,2015-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/14-01721-S106-3
14/01721/S106/2,189113,,green-infrastructure,14/01721/S106,local-authority-eng:NTY,2015-02-27,2015-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/14-01721-S106-2
14/01721/S106/1,0,17,affordable-housing,14/01721/S106,local-authority-eng:NTY,2015-02-27,2015-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/14-01721-S106-1
15/00430/S106/3,153000,,affordable-housing,15/00430/S106,local-authority-eng:NTY,2015-02-27,2015-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/15-00430-S106-3
15/00430/S106/2,5000,,transport-and-travel,15/00430/S106,local-authority-eng:NTY,2015-02-27,2015-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/15-00430-S106-2
15/00430/S106/1,14250,,health,15/00430/S106,local-authority-eng:NTY,2015-02-27,2015-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/15-00430-S106-1
17/01797/S106/6,8100,,community-facilities,17/01797/S106,local-authority-eng:NTY,2015-01-22,2015-01-22,,/developer-agreement-contribution/local-authority-eng/NTY/17-01797-S106-6
17/01797/S106/5,58166,,open-space-and-leisure,17/01797/S106,local-authority-eng:NTY,2015-01-22,2015-01-22,,/developer-agreement-contribution/local-authority-eng/NTY/17-01797-S106-5
17/01797/S106/4,61468,,health,17/01797/S106,local-authority-eng:NTY,2015-01-22,2015-01-22,,/developer-agreement-contribution/local-authority-eng/NTY/17-01797-S106-4
17/01797/S106/3,120000,,highways,17/01797/S106,local-authority-eng:NTY,2015-01-22,2015-01-22,,/developer-agreement-contribution/local-authority-eng/NTY/17-01797-S106-3
17/01797/S106/2,683360,,education,17/01797/S106,local-authority-eng:NTY,2015-01-22,2015-01-22,,/developer-agreement-contribution/local-authority-eng/NTY/17-01797-S106-2
17/01797/S106/1,0,31,affordable-housing,17/01797/S106,local-authority-eng:NTY,2015-01-22,2015-01-22,,/developer-agreement-contribution/local-authority-eng/NTY/17-01797-S106-1
14/01904/S106/2,27839,,open-space-and-leisure,14/01904/S106,local-authority-eng:NTY,2015-01-12,2015-01-12,,/developer-agreement-contribution/local-authority-eng/NTY/14-01904-S106-2
14/01904/S106/1,0,10,affordable-housing,14/01904/S106,local-authority-eng:NTY,2015-01-12,2015-01-12,,/developer-agreement-contribution/local-authority-eng/NTY/14-01904-S106-1
13/00294/S106/2,2730,,green-infrastructure,13/00294/S106,local-authority-eng:NTY,2014-08-01,2014-08-01,,/developer-agreement-contribution/local-authority-eng/NTY/13-00294-S106-2
13/00294/S106/1,6412,,open-space-and-leisure,13/00294/S106,local-authority-eng:NTY,2014-08-01,2014-08-01,,/developer-agreement-contribution/local-authority-eng/NTY/13-00294-S106-1
14/00242/S106/8,2700,,community-facilities,14/00242/S106,local-authority-eng:NTY,2014-02-27,2014-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/14-00242-S106-8
14/00242/S106/7,31638,,open-space-and-leisure,14/00242/S106,local-authority-eng:NTY,2014-02-27,2014-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/14-00242-S106-7
14/00242/S106/6,96923,,community-facilities,14/00242/S106,local-authority-eng:NTY,2014-02-27,2014-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/14-00242-S106-6
14/00242/S106/5,13348,,green-infrastructure,14/00242/S106,local-authority-eng:NTY,2014-02-27,2014-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/14-00242-S106-5
14/00242/S106/4,5500,,transport-and-travel,14/00242/S106,local-authority-eng:NTY,2014-02-27,2014-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/14-00242-S106-4
14/00242/S106/3,-50000,,highways,14/00242/S106,local-authority-eng:NTY,2014-02-27,2014-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/14-00242-S106-3
14/00242/S106/2,0,17,affordable-housing,14/00242/S106,local-authority-eng:NTY,2014-02-27,2014-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/14-00242-S106-2
14/00242/S106/1,0,,economic-development,14/00242/S106,local-authority-eng:NTY,2014-02-27,2014-02-27,,/developer-agreement-contribution/local-authority-eng/NTY/14-00242-S106-1
18/00608/S106/9,250000,,community-facilities,18/00608/S106,local-authority-eng:NTY,2013-11-22,2013-11-22,,/developer-agreement-contribution/local-authority-eng/NTY/18-00608-S106-9
18/00608/S106/8,285580,,health,18/00608/S106,local-authority-eng:NTY,2013-11-22,2013-11-22,,/developer-agreement-contribution/local-authority-eng/NTY/18-00608-S106-8
18/00608/S106/7,260000,,green-infrastructure,18/00608/S106,local-authority-eng:NTY,2013-11-22,2013-11-22,,/developer-agreement-contribution/local-authority-eng/NTY/18-00608-S106-7
18/00608/S106/6,20000,,transport-and-travel,18/00608/S106,local-authority-eng:NTY,2013-11-22,2013-11-22,,/developer-agreement-contribution/local-authority-eng/NTY/18-00608-S106-6
18/00608/S106/5,1637500,,education,18/00608/S106,local-authority-eng:NTY,2013-11-22,2013-11-22,,/developer-agreement-contribution/local-authority-eng/NTY/18-00608-S106-5
18/00608/S106/4,132000,,transport-and-travel,18/00608/S106,local-authority-eng:NTY,2013-11-22,2013-11-22,,/developer-agreement-contribution/local-authority-eng/NTY/18-00608-S106-4
18/00608/S106/3,0,,education,18/00608/S106,local-authority-eng:NTY,2013-11-22,2013-11-22,,/developer-agreement-contribution/local-authority-eng/NTY/18-00608-S106-3
18/00608/S106/2,0,148,affordable-housing,18/00608/S106,local-authority-eng:NTY,2013-11-22,2013-11-22,,/developer-agreement-contribution/local-authority-eng/NTY/18-00608-S106-2
18/00608/S106/1,0,12,economic-development,18/00608/S106,local-authority-eng:NTY,2013-11-22,2013-11-22,,/developer-agreement-contribution/local-authority-eng/NTY/18-00608-S106-1
14/01805/S106/1,0,,highways,14/01805/S106,local-authority-eng:NTY,2014-10-20,2014-10-20,,/developer-agreement-contribution/local-authority-eng/NTY/14-01805-S106-1
14/01744/S106/2,2748,,open-space-and-leisure,14/01744/S106,local-authority-eng:NTY,2014-10-28,2014-10-28,,/developer-agreement-contribution/local-authority-eng/NTY/14-01744-S106-2
14/01744/S106/1,1170,,green-infrastructure,14/01744/S106,local-authority-eng:NTY,2014-10-28,2014-10-28,,/developer-agreement-contribution/local-authority-eng/NTY/14-01744-S106-1
14/01941/S106/11,362350,,community-facilities,14/01941/S106,local-authority-eng:NTY,2014-06-24,2014-06-24,,/developer-agreement-contribution/local-authority-eng/NTY/14-01941-S106-11
14/01941/S106/10,56700,,community-facilities,14/01941/S106,local-authority-eng:NTY,2014-06-24,2014-06-24,,/developer-agreement-contribution/local-authority-eng/NTY/14-01941-S106-10
14/01941/S106/9,200000,,open-space-and-leisure,14/01941/S106,local-authority-eng:NTY,2014-06-24,2014-06-24,,/developer-agreement-contribution/local-authority-eng/NTY/14-01941-S106-9
14/01941/S106/8,350000,,education,14/01941/S106,local-authority-eng:NTY,2014-06-24,2014-06-24,,/developer-agreement-contribution/local-authority-eng/NTY/14-01941-S106-8
14/01941/S106/7,314600,,health,14/01941/S106,local-authority-eng:NTY,2014-06-24,2014-06-24,,/developer-agreement-contribution/local-authority-eng/NTY/14-01941-S106-7
14/01941/S106/6,423000,,highways,14/01941/S106,local-authority-eng:NTY,2014-06-24,2014-06-24,,/developer-agreement-contribution/local-authority-eng/NTY/14-01941-S106-6
14/01941/S106/5,320000,,green-infrastructure,14/01941/S106,local-authority-eng:NTY,2014-06-24,2014-06-24,,/developer-agreement-contribution/local-authority-eng/NTY/14-01941-S106-5
