developer-agreement-contribution,amount,units,contribution-purpose,developer-agreement,organisation,entry-date,start-date,end-date,slug
20171234ED2,102154.2,,education,20171234-da,local-authority-eng:NLN,2020-10-29,2018-08-20,,/developer-agreement-contribution/local-authority-eng/NLN/20171234ED2
20171234REC1,30000,,open-space-and-leisure,20171234-da,local-authority-eng:NLN,2020-10-29,2018-08-20,,/developer-agreement-contribution/local-authority-eng/NLN/20171234REC1
20171234REC2,10875,,open-space-and-leisure,20171234-da,local-authority-eng:NLN,2020-10-29,2018-08-20,,/developer-agreement-contribution/local-authority-eng/NLN/20171234REC2
20171234OS,,1,open-space-and-leisure,20171234-da,local-authority-eng:NLN,2020-10-29,2018-08-20,,/developer-agreement-contribution/local-authority-eng/NLN/20171234OS
20171234HW,5000,,highways,20171234-da,local-authority-eng:NLN,2020-10-29,2018-08-20,,/developer-agreement-contribution/local-authority-eng/NLN/20171234HW
20171513AF,2,,affordable-housing,20171513-da,local-authority-eng:NLN,2020-10-29,2018-12-20,,/developer-agreement-contribution/local-authority-eng/NLN/20171513AF
20171513ED1,51588,,education,20171513-da,local-authority-eng:NLN,2020-10-29,2018-12-20,,/developer-agreement-contribution/local-authority-eng/NLN/20171513ED1
20171513ED2,51588,,education,20171513-da,local-authority-eng:NLN,2020-10-29,2018-12-20,,/developer-agreement-contribution/local-authority-eng/NLN/20171513ED2
20171513REC,30802.49,,open-space-and-leisure,20171513-da,local-authority-eng:NLN,2020-10-29,2018-12-20,,/developer-agreement-contribution/local-authority-eng/NLN/20171513REC
20171541AH,,1,affordable-housing,20171541-da,local-authority-eng:NLN,2020-10-29,2018-02-23,,/developer-agreement-contribution/local-authority-eng/NLN/20171541AH
20171541ED,8535,,education,20171541-da,local-authority-eng:NLN,2020-10-29,2018-02-23,,/developer-agreement-contribution/local-authority-eng/NLN/20171541ED
20171541HW,876,,highways,20171541-da,local-authority-eng:NLN,2020-10-29,2018-02-23,,/developer-agreement-contribution/local-authority-eng/NLN/20171541HW
20171975AH,,2,affordable-housing,20171975-da,local-authority-eng:NLN,2020-10-29,2020-01-20,,/developer-agreement-contribution/local-authority-eng/NLN/20171975AH
20171975OS,9460.2,,open-space-and-leisure,20171975-da,local-authority-eng:NLN,2020-10-29,2020-01-20,,/developer-agreement-contribution/local-authority-eng/NLN/20171975OS
20172006AH,,24,affordable-housing,20172006-da,local-authority-eng:NLN,2020-10-29,2018-03-26,,/developer-agreement-contribution/local-authority-eng/NLN/20172006AH
20172008AH,,14,affordable-housing,20172008-da,local-authority-eng:NLN,2020-10-29,2018-03-26,,/developer-agreement-contribution/local-authority-eng/NLN/20172008AH
